R0001,L01,Irish
R0002,L41,Mediterranean
R0003,L33,European
R0004,L18,Gastro Pub
R0005,L01,Afternoon Tea
R0006,L11,Afternoon Tea
R0007,L04,Indian
R0008,L22,International
R0009,L16,French
R0010,L26,Contemporary European
R0011,L21,Italian
R0012,L08,Cafe Dining
R0013,L25,Barbecue
R0014,L25,Irish
R0015,L01,Contemporary European
R0016,L08,Italian
R0017,L31,Pub
R0018,L07,Irish
R0019,L04,Steak
R0020,L48,Pizzeria
R0021,L25,Italian
R0022,L27,International
R0023,L56,Nepalese
R0024,L19,European
R0025,L04,Barbecue
R0026,L08,Pizzeria
R0027,L05,Modern European
R0028,L08,Burgers
R0029,L44,Gastro Pub
R0030,L16,Modern European
R0031,L03,International
R0032,L03,Irish
R0033,L01,Barbecue
R0034,L59,American
R0035,L15,American
R0036,L01,Fish
R0037,L04,Italian
R0038,L20,Japanese  Teppanyaki 
R0039,L47,European
R0040,L15,Thai
R0041,L21,European
R0042,L04,Contemporary European
R0043,L24,International
R0044,L10,Irish
R0045,L01,Mediterranean
R0046,L04,International
R0047,L03,Irish
R0048,L13,Indian
R0049,L05,Indian
R0050,L01,Italian
R0051,L01,Italian
R0052,L08,Japanese
R0053,L49,Mediterranean
R0054,L10,American
R0055,L04,American
R0056,L01,Irish
R0057,L08,Grill
R0058,L20,Irish
R0059,L08,Italian
R0060,L01,Dining Bar
R0061,L01,Tapas / Small Plates
R0062,L01,Irish
R0063,L01,Contemporary European
R0064,L29,Gastro Pub
R0065,L01,Steak
R0066,L04,Seafood
R0067,L07,Seafood
R0068,L34,Irish
R0069,L59,Italian
R0070,L01,Irish
R0071,L50,Asian
R0072,L01,Comfort Food
R0073,L21,Italian
R0074,L36,Irish
R0075,L27,Italian
R0076,L63,Irish
R0077,L32,Tapas / Small Plates
R0078,L21,Mediterranean
R0079,L33,Italian
R0080,L04,International
R0081,L35,Indian
R0082,L01,Middle Eastern
R0083,L01,International
R0084,L03,Mediterranean
R0085,L30,Nepalese
R0086,L08,Asian
R0087,L17,Indian
R0088,L44,Indian
R0089,L45,Malaysian
R0090,L37,Soul food
R0091,L08,Asian
R0092,L01,Bistro
R0093,L22,Italian
R0094,L42,Italian
R0095,L64,Italian
R0096,L01,French
R0097,L11,Contemporary European
R0098,L27,Mediterranean
R0099,L21,American
R0100,L23,French
R0101,L65,French
R0102,L57,International
R0103,L36,Italian
R0104,L39,American
R0105,L24,Afternoon Tea
R0106,L52,Indian
R0107,L37,Indian
R0108,L27,Thai
R0109,L03,Steakhouse
R0110,L14,Gastro Pub
R0111,L59,Irish
R0112,L08,Sushi
R0113,L61,Indian
R0114,L05,Italian
R0115,L51,Italian
R0116,L04,Irish
R0117,L11,Gastro Pub
R0118,L45,Chinese
R0119,L04,Irish
R0120,L16,Contemporary European
R0121,L01,Pan-Asian
R0122,L02,Italian
R0123,L01,Italian
R0124,L59,Italian
R0125,L58,Chinese
R0126,L52,Irish
R0127,L21,European
R0128,L01,Contemporary European
R0129,L04,Wine Bar
R0130,L21,Italian
R0131,L04,Italian
R0132,L21,Pizza Bar
R0133,L27,Japanese
R0134,L34,Contemporary European
R0135,L04,International
R0136,L25,Seafood
R0137,L25,Seafood
R0138,L04,Italian
R0139,L55,American
R0140,L05,Irish
R0141,L26,Thai
R0142,L01,Thai
R0143,L05,Italian
R0144,L25,Irish
R0145,L10,Middle Eastern
R0146,L01,Steakhouse
R0147,L01,Irish
R0148,L25,International
R0149,L01,Japanese
R0150,L22,Seafood
R0151,L01,Italian
R0152,L10,Fusion / Eclectic
R0153,L01,International
R0154,L09,Contemporary European
R0155,L01,Sushi
R0156,L05,Japanese
R0157,L04,Asian
R0158,L15,Italian
R0159,L54,Asian
R0160,L05,Japanese
R0161,L13,European
R0162,L11,Irish
R0163,L25,Wine Bar
R0164,L38,Mediterranean
R0165,L11,Irish
R0166,L01,International
R0167,L01,Bistro
R0168,L53,Cafe Dining
R0169,L21,Gastro Pub
R0170,L04,Mexican
R0171,L01,British
R0172,L52,Indian
R0173,L01,Irish
R0174,L08,Irish
R0175,L15,Italian
R0176,L25,Afternoon Tea
R0177,L25,Cocktail Bar
R0178,L01,Afternoon Tea
R0179,L01,Gastro Pub
R0180,L31,Bistro
R0181,L37,Soul food
R0182,L04,Pub
R0183,L13,Contemporary European
R0184,L22,Japanese
R0185,L15,Mediterranean
R0186,L40,Irish
R0187,L01,Irish
R0188,L46,Contemporary European
R0189,L34,International
R0190,L06,Irish
R0191,L08,American
R0192,L08,Irish
R0193,L31,Contemporary European
R0194,L08,Irish
R0195,L01,Gastro Pub
R0196,L08,Pizza Bar
R0197,L04,American
R0198,L04,Steakhouse
R0199,L08,Italian
R0200,L28,Contemporary European
R0201,L12,Modern European
R0202,L43,Contemporary European
R0203,L43,Tapas / Small Plates
R0204,L60,International
R0205,L04,Modern European
R0206,L10,French
R0207,L08,Italian
R0208,L08,Japanese
R0209,L01,Steakhouse
R0210,L62,Cafe Dining
R0211,L07,Chinese
